name,price,sold,page,gmv
TERBUKTI Kemeja Katun Konichiwa BYR,122000,0,2,0
HappyOliver DRESS KONICHIWA EBV Baju Dress Anak Perempuan Import,103400,0,2,0
Konichiwa 65ml Parfum Dokyo J15 Pheromone 100 Original Jepang,374400,0,2,0
KAOS WANITA ATASAN WANITA DISTRO GREENLIGHT KAOS KONICHIWA GREENLIGHT,64900,0,2,0
Menarik Paket lensa minus - frame kacamata pria wanita konichiwa,163500,0,2,0
Menarik Paket lensa minus - frame kacamata pria wanita konichiwa,163500,0,2,0
Sandal konichiwa,150000,0,2,0
Buku Travelling : KONICHIWA JAPAN! - Buku tentang Jepang,81900,0,2,0
BEDCOVER SET KATUN BEVERLY MOTIF HK KONICHIWA RED,884000,0,2,0
Sepatu Corvalue Footwear - Sneakers Kasual Pria Wanita Konichiwa Fulwh,361000,0,2,0
SEPATU CORVALUE FOOTWEAR - Sepatu Sneakers Casual Konichiwa Full White,210000,0,2,0
Buku Traveling : Konichiwa Japan!,81900,0,2,0
Buku Traveling - Konichiwa Japan Travel Food Culture Life,96000,0,2,0
DRESS KONICHIWA Baju Dress Anak Perempuan Import,85900,0,2,0
"DRESS ANAK KONICHIWA EBV Baju Dress Anak Perempuan Import - Grey, M",114400,2,3,228800
Hakushika Umakuchi shika Pack 3L sake,1150000,5,3,5750000
lotte xylitol bts - jimin,50000,0,3,0
Little Pep Oppa TShirt - Dewasa S,148000,2,3,296000
"T-Shirt Karakter Korean Cute / Kaos Distro Anak - Koya, S ( 1-2 Thn )",37500,0,3,0
Buku Traveling : Konichiwa Japan! : Buku Tentang Jepang,84800,0,3,0
I➸EC DRESS ANAK KONICHIWA EBV BAJU DRESS ANAK PEREMPUAN T K✉49,195000,0,3,0
- BUKU REFERENSI : Konichiwa Japan!,66100,0,3,0
Konichiwa Japan!,41000,0,3,0
"Sprei Katun Lokal Motif HK Konichiwa By Bahan Katun Beverly,Sprei",322000,0,3,0
POP IT JUMBO XL BUTTERFLY / popit tiktok viral kado,79000,40,3,3160000
Kaos kpop BTS butter kuning anak cewek 2 3 4 5 6 7 8 9 10 tahun - XXS,70000,2,3,140000
POP IT XXXL PASTEL STRAWBERRY PREMIUM / rainbow popit tiktok bubble,169000,21,3,3549000
HappyOliver DRESS KONICHIWA EBV Baju Dress Anak Perempuan Import 🤞,80000,0,3,0
